RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,type
-0.06999999999993634,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,WinF
-0.4500000000000455,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,WinF
-0.21000000000003638,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,WinF
4.099999999999909,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,WinF
-0.14000000000010004,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,WinF
1.0,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,WinF
0.6900000000000546,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,WinF
8.670000000000073,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,WinF
4.230000000000018,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,WinF
0.9800000000000182,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,WinF
5.2000000000000455,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,WinF
1.259999999999991,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,WinF
0.08000000000015461,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,WinF
0.36999999999989086,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,WinF
-0.22000000000002728,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,WinF
-0.30999999999994543,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,WinF
-5.849999999999909,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,WinF
0.2400000000000091,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,WinF
-0.4600000000000364,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,WinF
-0.4600000000000364,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,WinF
1.0499999999999545,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,WinF
1.7699999999999818,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,WinF
3.7200000000000273,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,WinF
4.269999999999982,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,WinF
3.7200000000000273,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,WinF
2.990000000000009,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,WinF
3.519999999999982,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,WinF
3.519999999999982,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,WinF
3.519999999999982,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,WinF
5.0,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,WinF
-2.259999999999991,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,WinNF
0.4800000000000182,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,WinNF
-2.0699999999999363,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,WinNF
-1.6900000000000546,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,WinNF
-2.0399999999999636,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0,WinNF
-2.099999999999909,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,WinNF
-1.5499999999999545,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,WinNF
-1.7300000000000182,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,WinNF
-1.8700000000001182,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,WinNF
-2.099999999999909,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,WinNF
-2.0800000000001546,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0,WinNF
-2.0699999999999363,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,WinNF
-1.540000000000191,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,WinNF
-2.0599999999999454,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,WinNF
-3.910000000000082,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,WinNF
-1.75,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,WinNF
-2.3099999999999454,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,WinNF
-1.5499999999999545,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,WinNF
-1.8199999999999363,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,WinNF
-1.6000000000001364,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,WinNF
0.41000000000008185,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,WinNF
-1.9500000000000455,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,WinNF
-2.1200000000001182,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,WinNF
-2.099999999999909,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,WinNF
-1.7100000000000364,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,WinNF
0.599999999999909,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,WinNF
0.41000000000008185,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,WinNF
-0.5699999999999363,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,WinNF
-1.1099999999999,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,WinNF
0.11000000000012733,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,WinNF
-1.4500000000000455,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,WinNF
-0.6999999999998181,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,WinNF
0.20000000000004547,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,WinNF
9.25,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,WinNF
6.099999999999909,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,WinNF
6.75,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,WinNF
13.25,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,WinNF
15.930000000000064,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,WinNF
4.2199999999998,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,WinNF
0.18000000000006366,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,WinNF
8.6400000000001,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,WinNF
9.3900000000001,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,WinNF
9.769999999999982,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0,WinNF
0.9200000000000728,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14,WinNF
0.4700000000000273,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,WinNF
0.459999999999809,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,WinNF
0.2899999999999636,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,WinNF
-0.9200000000000728,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,WinNF
-1.2699999999999818,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,WinNF
-1.4800000000000182,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,WinNF
0.44000000000005457,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,WinNF
-1.3700000000001182,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,WinNF
-1.1300000000001091,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,WinNF
-0.9300000000000637,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,WinNF
3.769999999999982,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,WinNF
0.7200000000000273,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12,WinNF
-1.3299999999999272,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,WinNF
2.8099999999999454,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,WinNF
2.6800000000000637,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,WinNF
2.2000000000000455,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,WinNF
3.769999999999982,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,WinNF
8.1400000000001,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,WinNF
0.12999999999988177,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,WinNF
0.0,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,WinNF
0.11000000000012733,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,WinNF
-0.11000000000012733,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,WinNF
0.05999999999994543,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,WinNF
-0.8900000000001,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,WinNF
-1.259999999999991,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,WinNF
-1.259999999999991,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,WinNF
-1.1000000000001364,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,WinNF
0.5099999999999909,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,WinNF
-1.3799999999998818,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,WinNF
-0.9099999999998545,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,WinNF
-1.400000000000091,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,WinNF
0.38999999999987267,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,WinNF
-0.30999999999994543,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,Veh
-1.900000000000091,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,Veh
-1.2999999999999545,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,Veh
-1.5700000000001637,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,Veh
-1.349999999999909,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,Veh
3.269999999999982,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,Veh
-0.21000000000003638,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,Veh
-1.900000000000091,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,Veh
-1.0599999999999454,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,Veh
-1.540000000000191,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,Veh
-1.4500000000000455,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,Veh
3.2100000000000364,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,Veh
-0.2400000000000091,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,Veh
-0.03999999999996362,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,Veh
0.31999999999993634,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,Veh
1.3399999999999181,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,Veh
4.110000000000127,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,Veh
-2.8600000000001273,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,Con
1.150000000000091,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,Con
3.709999999999809,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,Con
3.509999999999991,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,Con
1.6900000000000546,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,Con
-1.3400000000001455,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,Con
1.9400000000000546,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,Con
5.690000000000055,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,Con
-4.839999999999918,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,Con
-4.789999999999964,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,Con
2.4299999999998363,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0,Con
2.5800000000001546,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,Con
3.1900000000000546,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,Con
1.0499999999999545,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,Tabl
1.3700000000001182,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,Tabl
0.2899999999999636,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,Tabl
0.5199999999999818,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,Tabl
-5.009999999999991,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,Tabl
0.8800000000001091,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,Tabl
1.1600000000000819,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,Tabl
1.6900000000000546,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,Tabl
-6.849999999999909,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,Tabl
-6.690000000000055,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,Head
0.38000000000010914,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,Head
5.150000000000091,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,Head
4.470000000000027,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,Head
5.649999999999864,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,Head
-1.8700000000001182,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,Head
-1.9800000000000182,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,Head
-1.7699999999999818,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,Head
-0.8099999999999454,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,Head
-1.1700000000000728,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,Head
-2.5499999999999545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,Head
-2.4400000000000546,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,Head
-0.7300000000000182,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,Head
-2.6900000000000546,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,Head
-1.9100000000000819,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,Head
-2.9200000000000728,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,Head
-1.4700000000000273,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,Head
-2.8600000000001273,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,Head
-1.4200000000000728,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,Head
-1.8299999999999272,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,Head
-0.6800000000000637,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,Head
-1.5499999999999545,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,Head
0.30999999999994543,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,Head
-1.6000000000001364,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,Head
-1.7699999999999818,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,Head
-1.1499999999998636,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,Head
2.650000000000091,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,Head
-1.490000000000009,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,Head
-0.8900000000001,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,Head
