Year,Marriages,Divorces,Population,Marriages_per_1000,Divorces_per_1000
1958,1451000,368000,174141000,8.3,2.1
1959,1494000,395000,177130000,8.4,2.2
1960,1523000,393000,180760000,8.4,2.2
1961,1548000,414000,183742000,8.4,2.3
1962,1577000,413000,186590000,8.5,2.2
1963,1654000,428000,189300000,8.7,2.3
1964,1725000,450000,191927000,9,2.3
1965,1800000,479000,194347000,9.3,2.5
1966,1857000,499000,196599000,9.4,2.5
1967,1927000,523000,198752000,9.7,2.6
1968,2069000,584000,200745000,10.3,2.9
1969,2145000,639000,202736000,10.6,3.2
1970,2185802,708000,205089000,10.7,3.5
1971,2190481,773000,207692000,10.5,3.7
1972,2282154,845000,209924000,10.9,4
1973,2284108,915000,211939000,10.8,4.3
1974,2245929,983931,213898000,10.5,4.6
1975,2159810,1036709,215981000,10,4.8
1976,2159051,1090430,218086000,9.9,5
1977,2180861,1101445,220289000,9.9,5
1978,2293079,1135408,222629000,10.3,5.1
1979,2341102,1193062,225106000,10.4,5.3
1980,2413896,1184175,227726000,10.6,5.2
1981,2438085,1219042,230008000,10.6,5.3
1982,,,232218000,,
1983,,,234333000,,
1984,2482137,1181970,236394000,10.5,5
1985,2408911,1192530,238506000,10.1,5
1986,2406830,1179347,240683000,10,4.9
1987,2404146,1165646,242843000,9.9,4.8
1988,2377092,1151787,245061000,9.7,4.7
1989,2399654,1162719,247387000,9.7,4.7
1990,2451774,1175851,250181000,9.8,4.7
1991,2383182,1191591,253530000,9.4,4.7
1992,2389375,1233226,256922000,9.3,4.8
1993,2342538,1197297,260282000,9,4.6
1994,2397441,1211893,263455000,9.1,4.6
1995,,,266588000,,
1996,,,269714000,,
1997,2384000,1163000,272958000,8.7,4.3
1998,2244000,1135000,276154000,8.1,4.1
1999,2358000,1145245,279328000,8.4,4.1
2000,2315000,944000,282398000,8.2,3.3
2001,2326000,940000,285225000,8.2,3.3
2002,2290000,955000,287955000,8,3.3
2003,2245000,927000,290626000,7.7,3.2
2004,2279000,879000,293262000,7.8,3
2005,2249000,847000,295993000,7.6,2.9
2006,2193000,872000,298818000,7.3,2.9
2007,2197000,856000,301696000,7.3,2.8
2008,2157000,844000,304543000,7.1,2.8
2009,2080000,840000,307240000,6.8,2.7
2010,2096000,872000,309776000,6.8,2.8
2011,2118000,877000,312034000,6.8,2.8
