Date,Sunrise,Sunset,Summer
2013-10-20,7:09,17:32,1
2013-10-21,7:11,17:30,1
2013-10-22,7:13,17:28,1
2013-10-23,7:15,17:26,1
2013-10-24,7:17,17:24,1
2013-10-25,7:18,17:22,1
2013-10-26,7:20,17:20,1
2013-10-27,6:22,16:18,0
2013-10-28,6:24,16:16,0
2013-10-29,6:26,16:14,0
2013-10-30,6:27,16:12,0
2013-10-31,6:29,16:10,0
2013-11-01,6:31,16:08,0
2013-11-02,6:33,16:06,0
2013-11-03,6:35,16:04,0
2013-11-04,6:37,16:03,0
2013-11-05,6:38,16:01,0
2013-11-06,6:40,15:59,0
2013-11-07,6:42,15:57,0
2013-11-08,6:44,15:56,0
2013-11-09,6:46,15:54,0
2013-11-10,6:47,15:52,0
2013-11-11,6:49,15:51,0
2013-11-12,6:51,15:49,0
2013-11-13,6:53,15:48,0
2013-11-14,6:55,15:46,0
2013-11-15,6:56,15:45,0
2013-11-16,6:58,15:43,0
2013-11-17,7:00,15:42,0
2013-11-18,7:02,15:41,0
2013-11-19,7:03,15:39,0
2013-11-20,7:05,15:38,0
2013-11-21,7:07,15:37,0
2013-11-22,7:08,15:36,0
2013-11-23,7:10,15:35,0
2013-11-24,7:12,15:34,0
2013-11-25,7:13,15:33,0
2013-11-26,7:15,15:32,0
2013-11-27,7:16,15:31,0
2013-11-28,7:18,15:30,0
2013-11-29,7:19,15:29,0
2013-11-30,7:21,15:28,0
2013-12-01,7:22,15:27,0
2013-12-02,7:24,15:27,0
2013-12-03,7:25,15:26,0
2013-12-04,7:26,15:26,0
2013-12-05,7:28,15:25,0
2013-12-06,7:29,15:25,0
2013-12-07,7:30,15:24,0
2013-12-08,7:32,15:24,0
2013-12-09,7:33,15:24,0
2013-12-10,7:34,15:23,0
2013-12-11,7:35,15:23,0
2013-12-12,7:36,15:23,0
2013-12-13,7:37,15:23,0
2013-12-14,7:38,15:23,0
2013-12-15,7:39,15:23,0
2013-12-16,7:39,15:23,0
2013-12-17,7:40,15:24,0
2013-12-18,7:41,15:24,0
2013-12-19,7:42,15:24,0
2013-12-20,7:42,15:24,0
2013-12-21,7:43,15:25,0
2013-12-22,7:43,15:25,0
2013-12-23,7:44,15:26,0
2013-12-24,7:44,15:27,0
2013-12-25,7:45,15:27,0
2013-12-26,7:45,15:28,0
2013-12-27,7:45,15:29,0
2013-12-28,7:45,15:29,0
2013-12-29,7:45,15:30,0
2013-12-30,7:45,15:31,0
2013-12-31,7:45,15:32,0
